angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.15,,"[547, 145, 339, 419]",,0.0,,0.06,,0.12,,0.3,,0.34,,0.03,
0.08,,"[552, 160, 330, 405]",,0.0,,0.07,,0.08,,0.31,,0.41,,0.05,
0.06,,"[555, 161, 327, 401]",,0.0,,0.06,,0.11,,0.33,,0.39,,0.05,
0.12,,"[553, 150, 337, 424]",,0.0,,0.14,,0.06,,0.13,,0.4,,0.14,
0.14,,"[556, 158, 326, 411]",,0.0,,0.14,,0.18,,0.11,,0.25,,0.18,
0.05,,"[545, 144, 338, 425]",,0.0,,0.06,,0.54,,0.19,,0.14,,0.03,
0.07,,"[545, 146, 337, 425]",,0.0,,0.12,,0.46,,0.08,,0.13,,0.14,
0.06,,"[542, 145, 336, 416]",,0.0,,0.05,,0.2,,0.43,,0.24,,0.02,
0.01,,"[541, 151, 334, 411]",,0.0,,0.02,,0.67,,0.24,,0.05,,0.01,
0.08,,"[538, 139, 338, 415]",,0.0,,0.05,,0.39,,0.34,,0.14,,0.01,
0.08,,"[550, 147, 322, 395]",,0.0,,0.05,,0.51,,0.17,,0.18,,0.01,
0.06,,"[533, 127, 338, 411]",,0.0,,0.1,,0.26,,0.32,,0.2,,0.06,
0.1,,"[533, 127, 337, 411]",,0.0,,0.12,,0.29,,0.24,,0.2,,0.05,
0.06,,"[531, 127, 341, 415]",,0.0,,0.07,,0.37,,0.29,,0.13,,0.07,
0.12,,"[541, 136, 322, 380]",,0.0,,0.05,,0.04,,0.65,,0.12,,0.02,
0.26,,"[535, 133, 333, 409]",,0.0,,0.13,,0.11,,0.07,,0.14,,0.29,
0.24,,"[532, 134, 342, 421]",,0.0,,0.21,,0.13,,0.07,,0.15,,0.19,
0.12,,"[544, 139, 333, 411]",,0.0,,0.11,,0.07,,0.35,,0.28,,0.07,
0.15,,"[554, 146, 323, 399]",,0.0,,0.11,,0.04,,0.34,,0.28,,0.08,
0.06,,"[561, 151, 323, 397]",,0.0,,0.12,,0.07,,0.41,,0.28,,0.05,
0.08,,"[562, 149, 322, 398]",,0.0,,0.06,,0.04,,0.53,,0.26,,0.02,
0.17,,"[562, 141, 325, 405]",,0.0,,0.2,,0.05,,0.23,,0.29,,0.05,
0.08,,"[562, 148, 325, 392]",,0.0,,0.06,,0.03,,0.61,,0.22,,0.01,
0.08,,"[559, 144, 327, 393]",,0.0,,0.06,,0.05,,0.6,,0.2,,0.01,
0.13,,"[554, 142, 340, 430]",,0.0,,0.26,,0.13,,0.15,,0.31,,0.03,
0.1,,"[553, 138, 342, 427]",,0.0,,0.32,,0.13,,0.17,,0.21,,0.07,
0.05,,"[564, 167, 323, 401]",,0.0,,0.14,,0.35,,0.08,,0.15,,0.23,
0.08,,"[551, 146, 340, 417]",,0.0,,0.21,,0.26,,0.17,,0.2,,0.08,
0.05,,"[555, 140, 334, 413]",,0.0,,0.07,,0.25,,0.53,,0.1,,0.01,
0.05,,"[550, 136, 338, 415]",,0.0,,0.07,,0.52,,0.25,,0.09,,0.02,
0.14,,"[549, 134, 337, 414]",,0.0,,0.12,,0.08,,0.34,,0.31,,0.02,
0.07,,"[544, 132, 337, 407]",,0.0,,0.12,,0.22,,0.45,,0.13,,0.02,
0.14,,"[537, 134, 338, 412]",,0.0,,0.12,,0.24,,0.27,,0.2,,0.02,
0.13,,"[531, 136, 343, 423]",,0.0,,0.18,,0.18,,0.22,,0.24,,0.05,
0.15,,"[530, 146, 341, 422]",,0.0,,0.18,,0.2,,0.22,,0.23,,0.02,
0.2,,"[528, 149, 344, 428]",,0.0,,0.18,,0.19,,0.1,,0.21,,0.1,
0.12,,"[525, 149, 344, 425]",,0.0,,0.21,,0.27,,0.14,,0.18,,0.08,
0.15,,"[528, 155, 336, 410]",,0.0,,0.24,,0.11,,0.24,,0.19,,0.07,
0.07,,"[529, 147, 341, 418]",,0.0,,0.16,,0.31,,0.25,,0.15,,0.05,
0.21,,"[540, 160, 328, 403]",,0.0,,0.24,,0.12,,0.16,,0.25,,0.02,
0.14,,"[545, 175, 323, 386]",,0.0,,0.17,,0.09,,0.14,,0.44,,0.02,
0.31,,"[552, 174, 330, 400]",,0.0,,0.1,,0.24,,0.15,,0.18,,0.02,
0.19,,"[553, 168, 324, 403]",,0.0,,0.14,,0.3,,0.18,,0.15,,0.04,
0.08,,"[559, 175, 322, 396]",,0.0,,0.16,,0.09,,0.38,,0.26,,0.03,
0.08,,"[548, 156, 332, 406]",,0.0,,0.09,,0.13,,0.42,,0.23,,0.05,
0.21,,"[547, 175, 326, 385]",,0.0,,0.09,,0.01,,0.54,,0.13,,0.02,
0.18,,"[541, 174, 331, 394]",,0.0,,0.08,,0.01,,0.57,,0.14,,0.03,
0.18,,"[539, 164, 335, 409]",,0.0,,0.13,,0.16,,0.3,,0.18,,0.05,
0.3,,"[541, 190, 320, 385]",,0.0,,0.15,,0.21,,0.2,,0.1,,0.04,
0.14,,"[536, 161, 339, 416]",,0.0,,0.11,,0.42,,0.19,,0.09,,0.05,
0.2,,"[539, 174, 327, 402]",,0.0,,0.16,,0.42,,0.07,,0.09,,0.05,
0.19,,"[540, 158, 332, 405]",,0.0,,0.13,,0.16,,0.25,,0.21,,0.06,
0.08,,"[542, 174, 324, 381]",,0.0,,0.16,,0.15,,0.39,,0.2,,0.03,
0.16,,"[547, 155, 332, 396]",,0.0,,0.17,,0.02,,0.43,,0.19,,0.03,
0.08,,"[538, 148, 331, 396]",,0.0,,0.14,,0.21,,0.43,,0.12,,0.01,
0.08,,"[536, 151, 328, 390]",,0.0,,0.06,,0.14,,0.55,,0.15,,0.01,
0.17,,"[532, 145, 333, 399]",,0.0,,0.05,,0.24,,0.47,,0.05,,0.01,
0.15,,"[535, 146, 326, 393]",,0.0,,0.06,,0.44,,0.29,,0.05,,0.01,
0.18,,"[530, 141, 334, 409]",,0.0,,0.15,,0.2,,0.31,,0.11,,0.05,
0.08,,"[528, 147, 333, 395]",,0.0,,0.06,,0.1,,0.69,,0.06,,0.01,
0.11,,"[529, 140, 333, 396]",,0.0,,0.07,,0.01,,0.76,,0.05,,0.0,
0.11,,"[521, 137, 345, 406]",,0.0,,0.1,,0.01,,0.67,,0.1,,0.01,
0.13,,"[524, 139, 341, 415]",,0.0,,0.21,,0.12,,0.32,,0.18,,0.03,
0.05,,"[519, 140, 343, 423]",,0.0,,0.21,,0.2,,0.35,,0.15,,0.03,
0.14,,"[522, 137, 341, 425]",,0.0,,0.26,,0.07,,0.23,,0.19,,0.11,
0.1,,"[516, 136, 348, 432]",,0.0,,0.19,,0.32,,0.21,,0.14,,0.02,
0.13,,"[518, 140, 342, 420]",,0.0,,0.09,,0.2,,0.33,,0.22,,0.02,
0.11,,"[503, 135, 360, 437]",,0.0,,0.26,,0.26,,0.13,,0.16,,0.08,
0.1,,"[505, 132, 358, 441]",,0.0,,0.33,,0.23,,0.1,,0.11,,0.13,
0.11,,"[513, 147, 349, 430]",,0.0,,0.22,,0.12,,0.19,,0.25,,0.1,
0.26,,"[507, 144, 350, 431]",,0.0,,0.31,,0.07,,0.07,,0.16,,0.12,
0.26,,"[509, 144, 369, 453]",,0.0,,0.2,,0.19,,0.01,,0.05,,0.3,
0.09,,"[532, 152, 346, 422]",,0.0,,0.18,,0.4,,0.13,,0.19,,0.01,
0.12,,"[542, 151, 350, 438]",,0.0,,0.11,,0.13,,0.32,,0.27,,0.06,
0.06,,"[556, 179, 339, 407]",,0.0,,0.11,,0.08,,0.51,,0.21,,0.02,
0.1,,"[548, 160, 376, 444]",,0.0,,0.04,,0.08,,0.63,,0.15,,0.01,
0.07,,"[562, 168, 347, 415]",,0.0,,0.06,,0.05,,0.69,,0.12,,0.0,
0.41,,"[551, 188, 329, 409]",,0.0,,0.17,,0.14,,0.08,,0.16,,0.03,
0.2,,"[551, 183, 338, 426]",,0.0,,0.25,,0.16,,0.13,,0.17,,0.09,
0.15,,"[559, 187, 337, 424]",,0.0,,0.22,,0.14,,0.14,,0.23,,0.11,
0.22,,"[554, 170, 391, 460]",,0.0,,0.31,,0.1,,0.21,,0.12,,0.03,
0.08,,"[580, 165, 347, 434]",,0.0,,0.2,,0.2,,0.37,,0.08,,0.06,
0.13,,"[581, 186, 336, 420]",,0.0,,0.12,,0.39,,0.26,,0.08,,0.02,
0.17,,"[564, 154, 345, 428]",,0.0,,0.06,,0.05,,0.55,,0.15,,0.02,
0.07,0.16,"[565, 153, 346, 428]","[672, 623, 53, 69]",0.0,0.0,0.04,0.27,0.05,0.26,0.67,0.18,0.16,0.12,0.0,0.01
